Meter No.,Date
RR2401035920,15/05/26
RR2401035919,15/05/26
RR2401106719,15/05/26
RR2401104100,15/05/26
RR2401107100,15/05/26
RR2401031832,15/05/26
RR2401031816,15/05/26
RR2401033234,15/05/26
RR2501100644,15/05/26
RR2501074971,15/05/26
RR2501013146,15/05/26
RR2501013147,15/05/26
RR2401037607,16/05/26
RR2401108680,16/05/26
RR2401037564,16/05/26
RR2401024894,16/05/26
RR2401024900,16/05/26
RR2501075596,16/05/26
RR2501072446,16/05/26
RR2501075659,16/05/26
RR2501072306,16/05/26
RR2501072530,16/05/26
RR2401027621,17/05/26
RR2401036626,17/05/26
RR2401102904,17/05/26
RR2401027603,17/05/26
RR2401027604,17/05/26
RR2401026032,17/05/26
RR2401026681,17/05/26
RR2401030521,17/05/26
RR2401105613,17/05/26
RR2401027749,17/05/26
RR2401025738,17/05/26
RR2401038767,17/05/26
RR2401037513,17/05/26
RR2401034250,17/05/26
RR2401034211,17/05/26
RR2401037943,17/05/26
RR2401105964,17/05/26
RR2401035180,17/05/26
RR2401031947,17/05/26
RR2401033979,17/05/26
RR2401031885,17/05/26
RR2401035194,17/05/26
RR2401035676,17/05/26
RR2401037160,17/05/26
RR2401036126,17/05/26
RR2401037161,17/05/26
RR2401065179,17/05/26
RR2401037213,17/05/26
RR2401102320,17/05/26
RR2401031951,17/05/26
RR2401035181,17/05/26
RR2401036129,17/05/26
RR2401037071,17/05/26
RR2401035225,17/05/26
RR2401033084,17/05/26
RR2401035240,17/05/26
RR2401035239,17/05/26
RR2401035122,17/05/26
RR2501075658,17/05/26
RR2501075661,17/05/26
RR2401032134,17/05/26
RR2501075604,17/05/26
RR2401106402,17/05/26
RR2401039095,17/05/26
RR2401039097,17/05/26
RR2401033826,17/05/26
RR2401031576,17/05/26
RR2401039520,17/05/26
RR2401033879,17/05/26
RR2401034375,17/05/26
RR2401104224,18/05/26
RR2401035815,18/05/26
RR2401104226,18/05/26
RR2401104258,18/05/26
RR2401104257,18/05/26
RR2401104256,18/05/26
RR2401026781,18/05/26
RR2401025819,18/05/26
RR2401026860,18/05/26
RR2401024662,18/05/26
RR2401026487,18/05/26
RR2401025859,18/05/26
RR2401032015,18/05/26
RR2401031841,18/05/26
RR2401032776,18/05/26
RR2401032777,18/05/26
RR2401035242,18/05/26
RR2401035214,18/05/26
RR2401035302,18/05/26
RR2401031766,18/05/26
RR2401032903,18/05/26
RR2401032904,18/05/26
RR2401032119,18/05/26
RR2401033402,18/05/26
RR2401033093,18/05/26
RR2401034476,18/05/26
RR2401034477,18/05/26
RR2401034426,18/05/26
RR2401034474,18/05/26
RR2401035253,18/05/26
RR2401034807,18/05/26
RR2401031860,18/05/26
RR2401037182,18/05/26
RR2401037185,18/05/26
RR2401026327,18/05/26
RR2401036059,18/05/26
RR2401026738,18/05/26
RR2401026495,18/05/26
RR2401039435,18/05/26
RR2401108413,18/05/26
RR2401030827,18/05/26
RR2401039436,18/05/26
RR2401040142,18/05/26
RR2401041936,18/05/26
RR2401038583,18/05/26
RR2401106003,18/05/26
RR2401030047,18/05/26
RR2401041648,18/05/26
RR2401041647,18/05/26
RR2401103599,18/05/26
RR2401103003,18/05/26
RR2401107055,18/05/26
RR2401041649,18/05/26
RR2401031611,18/05/26
RR2401108471,18/05/26
RR2401108468,18/05/26
RR2401026686,19/05/26
RR2401026317,19/05/26
RR2401024663,19/05/26
RR2401024649,19/05/26
RR2401024646,19/05/26
RR2401033255,19/05/26
RR2401033256,19/05/26
RR2401025860,19/05/26
RR2401026046,19/05/26
RR2401024648,19/05/26
RR2401025861,19/05/26
RR2401026687,19/05/26
RR2401025288,19/05/26
RR2401026398,19/05/26
RR2401025831,19/05/26
RR2401035207,19/05/26
RR2401035206,19/05/26
RR2401027648,19/05/26
RR2401033068,19/05/26
RR2401034809,19/05/26
RR2401032046,19/05/26
RR2401034424,19/05/26
RR2401037061,19/05/26
RR2401036047,19/05/26
RR2401037059,19/05/26
RR2401037060,19/05/26
RR 2401032670,19/05/26
RR2401034528,19/05/26
RR2401035223,19/05/26
RR2401034018,19/05/26
RR2401035229,19/05/26
RR2401032321,19/05/26
RR2401027647,19/05/26
RR2401104672,19/05/26
RR2401032073,19/05/26
RR2401036086,19/05/26
RR2401031898,19/05/26
RR2401032211,19/05/26
RR2401041248,19/05/26
RR2401023143,19/05/26
RR2401105239,19/05/26
RR2401030317,19/05/26
RR2401026343,19/05/26
RR2401033369,19/05/26
RR2401104996,19/05/26
RR2401105046,19/05/26
RR2401026519,19/05/26
RR2401105044,19/05/26
RR2401036076,19/05/26
RR2401035933,19/05/26
RR2401032105,19/05/26
RR2401102523,19/05/26
RR2401033213,19/05/26
RR2401032103,19/05/26
RR2401105113,19/05/26
RR2401103418,19/05/26
RR2401103417,19/05/26
RR2401033381,19/05/26
RR2401038538,19/05/26
RR2401107914,19/05/26
RR2401107912,19/05/26
RR2401025289,20/05/26
RR2401024580,20/05/26
RR2401025266,20/05/26
RR2401025878,20/05/26
RR2401025269,20/05/26
RR2401026482,20/05/26
RR2401025268,20/05/26
RR2401024631,20/05/26
RR2401025963,20/05/26
RR2401025965,20/05/26
RR2401026839,20/05/26
RR2401034913,20/05/26
RR2401026840,20/05/26
RR2401034672,20/05/26
RR2401034911,20/05/26
RR2401025962,20/05/26
RR2401026833,20/05/26
RR2401024632,20/05/26
RR2401032071,20/05/26
RR2401034423,20/05/26
RR2401034425,20/05/26
RR2401032070,20/05/26
RR2401032072,20/05/26
RR2401034444,20/05/26
RR2401034370,20/05/26
RR2401034445,20/05/26
RR2401032730,20/05/26
RR2401034020,20/05/26
RR2401037211,20/05/26
RR2401037158,20/05/26
RR2401037212,20/05/26
RR2401033049,20/05/26
RR2401027721,20/05/26
RR2401032914.,20/05/26
RR2401034463,20/05/26
RR2401032915,20/05/26
RR2401032906,20/05/26
RR2401032879,20/05/26
RR2401032985,20/05/26
RR2401031561,20/05/26
RR2401033362,20/05/26
RR2401042097,20/05/26
RR2401028065,20/05/26
RR2401028063,20/05/26
RR2401033363,20/05/26
RR2401026385,20/05/26
RR2401031595,20/05/26
RR2401026382,20/05/26
RR2401103756,20/05/26
RR2401103887,20/05/26
RR2401032138,20/05/26
RR2401102378,20/05/26
RR2401035037,20/05/26
RR2401103570,20/05/26
RR2401028086,20/05/26
RR2401038691,20/05/26
RR2401034399,20/05/26
RR2401102379,20/05/26
RR2401102376,20/05/26
RR2401102377,20/05/26
RR2501072364,20/05/26
RR2401034398,20/05/26
RR2501075087,20/05/26
RR2501072362,20/05/26
RR2401026741,20/05/26
RR2401025875,21/05/26
RR2401024608,21/05/26
RR2401026082,21/05/26
RR2401025937,21/05/26
RR2401025899,21/05/26
RR2401024611,21/05/26
RR2401037865,21/05/26
RR2401026336,21/05/26
RR2401026337,21/05/26
RR2401024696,21/05/26
RR2401025323,21/05/26
RR2401025324,21/05/26
RR2401031559,21/05/26
RR2401034766,21/05/26
RR2401033059,21/05/26
RR2401035591,21/05/26
RR2401035590,21/05/26
RR2401035592,21/05/26
RR2401031900,21/05/26
RR2401037183,21/05/26
RR2401033067,21/05/26
RR2401104253,21/05/26
RR2401107958,21/05/26
RR2401035534,21/05/26
RR2401032633,21/05/26
RR2401027718,21/05/26
RR2401032917,21/05/26
RR2401104164,21/05/26
RR2401106187,21/05/26
RR2401106186,21/05/26
RR2401032697,21/05/26
RR2401031873,21/05/26
RR2401031870,21/05/26
RR2401035631,21/05/26
RR2401031901,21/05/26
RR2401107385,21/05/26
RR2401105377,21/05/26
RR2401105378,21/05/26
RR2401105314,21/05/26
RR2401053142,21/05/26
RR2401104434,21/05/26
RR2401102882,21/05/26
RR2401103935,21/05/26
RR2401035947,21/05/26
RR2401035946,21/05/26
RR2401035904,21/05/26
RR2401103746,21/05/26
RR2401103934,21/05/26
RR2401105315,21/05/26
RR2401035597,21/05/26
RR24011026450,21/05/26
RR2401026381,21/05/26
RR2401103766,21/05/26
RR2401103569,21/05/26
RR2401033999,21/05/26
RR2401103618,21/05/26
RR2401035990,21/05/26
RR2401104769,22/05/26
RR2401037754,22/05/26
RR2401037636,22/05/26
RR2401031899,22/05/26
RR2401032118,22/05/26
RR2401032671,22/05/26
RR2401032719,22/05/26
RR2401102171,22/05/26
RR2401102168,22/05/26
RR2401107957,22/05/26
RR2401108535,22/05/26
RR2401108066,22/05/26
RR2401032694,22/05/26
RR2401034464,22/05/26
RR2401035226,22/05/26
RR2401034475,22/05/26
RR2401107103,22/05/26
RR2401106758,22/05/26
RR2401106718,22/05/26
RR2401107934,22/05/26
RR2401106759,22/05/26
RR2401106756,22/05/26
RR2401106757,22/05/26
RR2401035989,22/05/26
RR2401026380,22/05/26
RR2401038910,22/05/26
RR2401105006,22/05/26
RR2401026739,22/05/26
RR2401026740,22/05/26
RR2401042096,22/05/26
RR2401033809,22/05/26
RR2401040929,22/05/26
RR2501100598,22/05/26
RR2401106836,22/05/26
RR250100599,22/05/26
RR2401036769,22/05/26
RR2401036684,22/05/26
RR2401033807,22/05/26
RR2401104020,22/05/26
RR2401024582,23/05/26
RR2401031529,23/05/26
RR2401033550,23/05/26
RR2401033566,23/05/26
RR2401034694,23/05/26
RR2401033569,23/05/26
RR2401033568,23/05/26
RR2401034695,23/05/26
RR2401076408,23/05/26
RR2401029434,23/05/26
RR2401031840,23/05/26
RR2401033100,23/05/26
RR2401107932,23/05/26
RR2401106134,23/05/26
RR2401031958,23/05/26
RR2401036096,23/05/26
RR2401036088,23/05/26
RR2401033871,23/05/26
RR2401033873,23/05/26
RR2401107959,23/05/26
RR2401106148,23/05/26
RR2401032956,23/05/26
RR2401107533,23/05/26
RR2401106727,23/05/26
RR2401108626,23/05/26
RR2401104691,23/05/26
RR2401106725,23/05/26
RR2401104096,23/05/26
RR2401026510,23/05/26
RR2401252768,23/05/26
RR2501075633,23/05/26
RR2401252704,23/05/26
RR2401026627,23/05/26
RR2401033290,24/05/26
RR2401024702,24/05/26
RR2401033523,24/05/26
RR2401254002,24/05/26
RR2401254003,24/05/26
RR2401254004,24/05/26
RR2401026794,24/05/26
RR2401254615,24/05/26
RR2401024592,24/05/26
RR2401024593,24/05/26
RR2401255579,24/05/26
RR2401026751,24/05/26
RR2401026750,24/05/26
RR2401254616,24/05/26
RR2401040904,24/05/26
RR2401254613,24/05/26
RR2401256548,24/05/26
RR2401253880,24/05/26
RR2401253879,24/05/26
RR2401253878,24/05/26
RR2401256410,24/05/26
RR2401255577,24/05/26
RR2401254558,24/05/26
RR2401026753,24/05/26
RR2401027829,24/05/26
RR2401255366,24/05/26
RR2401034696,24/05/26
RR2401033407,24/05/26
RR2401255365,24/05/26
RR2401040905,24/05/26
RR2401036094,24/05/26
RR2401036097,24/05/26
RR2401103672,24/05/26
RR2401033237,24/05/26
RR2401033118,24/05/26
RR2401031861,24/05/26
RR2401037126,24/05/26
RR2401037062,24/05/26
RR2401037128,24/05/26
RR2401032642,24/05/26
RR2401032912,24/05/26
RR2401032910,24/05/26
RR2401032064,24/05/26
RR2401032062,24/05/26
RR2401033348,24/05/26
RR2401033346,24/05/26
RR2401108098,24/05/26
RR2401033347,24/05/26
RR2401037205,24/05/26
RR2401037225,24/05/26
RR2401036119,24/05/26
RR2501072511,24/05/26
RR2401031574,24/05/26
RR2501075663,24/05/26
RR2501075103,24/05/26
RR2501075105,24/05/26
RR2401225088,24/05/26
RR2401031941,25/05/26
RR2401031940,25/05/26
RR2401254578,25/05/26
RR2401253877,25/05/26
RR2401040902,25/05/26
RR2401255368,25/05/26
RR2401255667,25/05/26
RR2401254145,25/05/26
RR2401255612,25/05/26
RR2401025936,25/05/26
RR2401254559,25/05/26
RR2401255578,25/05/26
RR2401025213,25/05/26
RR2401254146,25/05/26
RR2401255609,25/05/26
RR2401024686,25/05/26
RR2401255611,25/05/26
RR2401255610,25/05/26
RR2401024976,25/05/26
RR2401024677,25/05/26
RR2401033353,25/05/26
RR2401254096,25/05/26
RR2401254665,25/05/26
RR2401254560,25/05/26
RR2401032209,25/05/26
RR2401034419,25/05/26
RR2401037223,25/05/26
RR2401037165,25/05/26
RR2401037164,25/05/26
RR2401037202,25/05/26
RR2401037208,25/05/26
RR2401037163,25/05/26
RR2401037162,25/05/26
RR2401037099,25/05/26
RR2401037132,25/05/26
RR2401036093,25/05/26
RR2401037100,25/05/26
RR2401037157,25/05/26
RR2401037127,25/05/26
RR2401032053,25/05/26
RR2401032641,25/05/26
RR2401033349,25/05/26
RR2401032051,25/05/26
RR2401032640,25/05/26
RR2401032050,25/05/26
RR2401032643,25/05/26
RR2401034420,25/05/26
RR2401032207,25/05/26
RR2401032206,25/05/26
RR2401030260,25/05/26
RR2401030259,25/05/26
RR2401042459,25/05/26
RR2401042226,25/05/26
RR2401042224,25/05/26
RR2401026083,26/05/26
RR2401026483,26/05/26
RR2401027551,26/05/26
RR2401254668,26/05/26
RR2401255724,26/05/26
RR2401254148,26/05/26
RR2401031526,26/05/26
RR2401025203,26/05/26
RR2401255367,26/05/26
RR2401025496,26/05/26
RR2401256412,26/05/26
RR2401037680,26/05/26
RR2401254557,26/05/26
RR2401036092,26/05/26
RR2401037129,26/05/26
RR2401037156,26/05/26
RR2401037155,26/05/26
RR2401037204,26/05/26
RR2401027945,26/05/26
RR2401036090,26/05/26
RR2401032820,26/05/26
RR2401037104,26/05/26
RR2401037131,26/05/26
RR2401037219,26/05/26
RR2401032052,26/05/26
RR2401037065,26/05/26
RR2401035117,26/05/26
RR2401027983,26/05/26
RR2401028894,26/05/26
RR2401027982,26/05/26
RR2401033493,26/05/26
RR2401027985,26/05/26
RR2401034798,26/05/26
RR2401034799,26/05/26
RR2401033492,26/05/26
RR2401028092,26/05/26
RR2401042547,26/05/26
RR2401028431,26/05/26
RR2401024742,27/05/26
RR2401036863,27/05/26
RR2401038071,27/05/26
RR2401036920,27/05/26
RR2401037864,27/05/26
RR2401036919,27/05/26
RR2401038070,27/05/26
RR2401038073,27/05/26
RR2401038072,27/05/26
RR2401102133,27/05/26
RR2401037995,27/05/26
RR2401034212,27/05/26
RR2401256545,27/05/26
RR2401036587,27/05/26
RR2401105258,27/05/26
RR2401040696,18.05.2026
RR2401030985,18.05.2026
RR2401030982,18.05.2026
RR2401102495,18.05.2026
RR2401105174,18.05.2026
RR2401031606,18.05.2026
RR2501087285,18.05.2026
RR2501092532,18.05.2026
RR2501092531,18.05.2026
RR2501078513,18.05.2026
RR2401040851,18.05.2026
RR2401030997,18.05.2026
RR2401103158,19.05.2026
RR2401104028,19.05.2026
RR2401104030,19.05.2026
RR2401105348,19.05.2026
RR2401101863,19.05.2026
RR2401018243,19.05.2026
RR2401030997,19.05.2026
RR2501078510,19.05.2026
RR2501078513,19.05.2026
RR2501092388,19.05.2026
RR2501087282,19.05.2026
RR2501076828,19.05.2026
RR2401031023,19.05.2026
RR2401042147,19.05.2026
RR2401042211,19.05.2026
RR2401252020,19.05.2026
RR2401039235,19.05.2026
RR2401042193,19.05.2026
RR2401041027,19.05.2026
RR2401042212,19.05.2026
RR2401042210,19.05.2026
RR2401040850,19.05.2026
RR2401103844,20.05.2026
RR2501072454,20.05.2026
RR2501072402,20.05.2026
RR2501076647,20.05.2026
RR2501076916,20.05.2026
RR2401026299,20.05.2026
RR2401103847,20.05.2026
RR2401102789,20.05.2026
RR2401106202,20.05.2026
RR2401103229,20.05.2026
RR2501031963,20.05.2026
RR2401108123,20.05.2026
RR2401106200,20.05.2026
RR2401106201,20.05.2026
RR2401106203,20.05.2026
RR2401034982,20.05.2026
RR2401103228,20.05.2026
RR2401040853,20.05.2026
RR2401039680,20.05.2026
RR2401039681,20.05.2026
RR2401031819,20.05.2026
RR2401039678,20.05.2026
RR2401039679,20.05.2026
RR2501076826,20.05.2026
RR2401041860,20.05.2026
RR2501087282,20.05.2026
RR2501092889,20.05.2026
RR2501092388,20.05.2026
RR2401251918,20.05.2026
RR2501076827,20.05.2026
RR2401040852,20.05.2026
RR2501077058,20.05.2026
RR2401251920,20.05.2026
RR2401039236,20.05.2026
RR2401101870,21.05.2026
RR2401103955,21.05.2026
RR2401107348,21.05.2026
RR2401105416,21.05.2026
RR2401035200,21.05.2026
RR2401037138,21.05.2026
RR2401036758,21.05.2026
RR2401037356,21.05.2026
RR2401105288,21.05.2026
RR2501076821,21.05.2026
RR2501077442,21.05.2026
RR2501088970,21.05.2026
RR2501085691,21.05.2026
RR2401031736,21.05.2026
RR2501078510,21.05.2026
RR2501087379,21.05.2026
RR2301164842,21.05.2026
RR2301164844,21.05.2026
RR2401102883,22.05.2026
RR2401036209,22.05.2026
RR2401037245,22.05.2026
RR2401104556,22.05.2026
RR2401036176,22.05.2026
RR2401106081,22.05.2026
RR2401106082,22.05.2026
RR2401033122,22.05.2026
RR2401031661,22.05.2026
RR2401106004,22.05.2026
RR2401036273,22.05.2026
RR2401031659,22.05.2026
RR2401030291,22.05.2026
RR2401106006,22.05.2026
RR2401036242,22.05.2026
RR2401036244,22.05.2026
RR2401107372,22.05.2026
RR2401106080,22.05.2026
RR2401036201,22.05.2026
RR2401103546,22.05.2026
RR2401036208,22.05.2026
RR2401106253,22.05.2026
RR2401033987,22.05.2026
RR2401033988,22.05.2026
RR2401034449,22.05.2026
RR2401036670,22.05.2026
RR2401036304,22.05.2026
RR2301164808,22.05.2026
RR2501078675,22.05.2026
RR2401252074,22.05.2026
RR2401252076,22.05.2026
RR2301073584,22.05.2026
RR2301076610,22.05.2026
RR2301075726,22.05.2026
RR2301075727,22.05.2026
RR2301075728,22.05.2026
RR2301075240,22.05.2026
RR2401252031,22.05.2026
RR2501077730,22.05.2026
RR2501077733,22.05.2026
RR2501077731,22.05.2026
RR2301164806,22.05.2026
RR2301164805,22.05.2026
RR2301076611,22.05.2026
RR2301167851,22.05.2026
RR2301070836,22.05.2026
RR2301071970,22.05.2026
RR2301070834,22.05.2026
RR2301070833,22.05.2026
RR2301167849,22.05.2026
RR2401042191,22.05.2026
RR2301031821,22.05.2026
RR2501070096,22.05.2026
RR2501076611,22.05.2026
RR2401030290,23.05.2026
RR2401032310,23.05.2026
RR2401033155,23.05.2026
RR2401035198,23.05.2026
RR2401107397,23.05.2026
RR2401036738,23.05.2026
RR2401036658,23.05.2026
RR2401032311,23.05.2026
RR2401106961,23.05.2026
RR2401106960,23.05.2026
RR2401035459,23.05.2026
RR2401037298,23.05.2026
RR2501085693,23.05.2026
RR2501088971,23.05.2026
RR2501076818,23.05.2026
RR2401251919,23.05.2026
RR2301171644,23.05.2026
RR2401252010,23.05.2026
RR2401251945,23.05.2026
RR2401029398,23.05.2026
RR2501090464,23.05.2026
RR2301076612,23.05.2026
RR2301073582,23.05.2026
RR2501085692,23.05.2026
RR2401034446,24.05.2026
RR2401036238,24.05.2026
RR2401037341,24.05.2026
RR2401037342,24.05.2026
RR2401037339,24.05.2026
RR2501076607,24.05.2026
RR2501072275,24.05.2026
RR2501076608,24.05.2026
RR2501075566,24.05.2026
RR2501076606,24.05.2026
RR2501075632,24.05.2026
RR2501075631,24.05.2026
RR2501074972,24.05.2026
RR2401030996,24.05.2026
RR2401030994,24.05.2026
RR2401031022,24.05.2026
RR2301070503,24.05.2026
RR2501092533,24.05.2026
RR2401040910,25.05.2026
RR2401031903,25.05.2026
RR2401031897,25.05.2026
RR2401035151,25.05.2026
RR2401033038,25.05.2026
RR2401033039,25.05.2026
RR2401034523,25.05.2026
RR2401035259,25.05.2026
RR2401034494,25.05.2026
RR2401034524,25.05.2026
RR2401033148,25.05.2026
RR2401035672,25.05.2026
RR2401026608,25.05.2026
RR2401026607,25.05.2026
RR2401031896,25.05.2026
RR2401034470,25.05.2026
RR2401035610,26.05.2026
RR2401026408,26.05.2026
RR2401035997,26.05.2026
RR2401035154,26.05.2026
RR2401035205,26.05.2026
RR2401033034,26.05.2026
RR2401037134,26.05.2026
RR2401035157,26.05.2026
RR2401030999,26.05.2026
RR2401031000,26.05.2026
RR2401035130,26.05.2026
RR2401035131,26.05.2026
RR2401030998,26.05.2026
RR2401031904,26.05.2026
RR2401030258,26.05.2026
RR2401031864,26.05.2026
RR2401030261,26.05.2026
RR2401030276,26.05.2026
RR2401030277,26.05.2026
RR2401035948,26.05.2026
RR2401035949,26.05.2026
RR2401036805,26.05.2026
RR2401024565,28/05/2026
